repeat,seed,model_name,cv_balanced_accuracy,best_params,val_accuracy,val_balanced_accuracy,val_f1,val_recall,val_precision,val_specificity,val_tn,val_fp,val_fn,val_tp,val_auc,test_accuracy,test_balanced_accuracy,test_f1,test_recall,test_precision,test_specificity,test_tn,test_fp,test_fn,test_tp,test_auc
1,42,svm_rbf,0.7142857142857143,"{'clf__C': 5.0, 'clf__gamma': 0.001}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,8,4,4,8,0.673611111111111,0.48,0.4807692307692308,0.48,0.46153846153846156,0.5,0.5,6,6,7,6,0.47756410256410253
2,43,svm_rbf,0.6839285714285714,"{'clf__C': 5.0, 'clf__gamma': 'scale'}",0.75,0.75,0.7857142857142857,0.9166666666666666,0.6875,0.5833333333333334,7,5,1,11,0.6805555555555555,0.52,0.5192307692307692,0.5384615384615384,0.5384615384615384,0.5384615384615384,0.5,6,6,6,7,0.5192307692307693
3,44,logreg,0.5446428571428571,{'clf__C': 1.0},0.6666666666666666,0.6666666666666667,0.7142857142857143,0.8333333333333334,0.625,0.5,6,6,2,10,0.6666666666666667,0.6,0.5865384615384616,0.7058823529411765,0.9230769230769231,0.5714285714285714,0.25,3,9,1,12,0.5961538461538461
4,45,logreg,0.5732142857142857,{'clf__C': 1.0},0.5416666666666666,0.5416666666666666,0.6206896551724138,0.75,0.5294117647058824,0.3333333333333333,4,8,3,9,0.5,0.72,0.7211538461538461,0.72,0.6923076923076923,0.75,0.75,9,3,4,9,0.7371794871794872
5,46,svm_rbf,0.6053571428571429,"{'clf__C': 1.0, 'clf__gamma': 0.001}",0.6666666666666666,0.6666666666666667,0.7142857142857143,0.8333333333333334,0.625,0.5,6,6,2,10,0.6944444444444445,0.64,0.6282051282051282,0.7272727272727273,0.9230769230769231,0.6,0.3333333333333333,4,8,1,12,0.7884615384615385
6,47,svm_rbf,0.6589285714285714,"{'clf__C': 1.0, 'clf__gamma': 'scale'}",0.7083333333333334,0.7083333333333334,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.5833333333333334,7,5,2,10,0.701388888888889,0.68,0.6730769230769231,0.7333333333333333,0.8461538461538461,0.6470588235294118,0.5,6,6,2,11,0.6730769230769231
7,48,random_forest,0.6446428571428571,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 500}",0.6666666666666666,0.6666666666666667,0.6,0.5,0.75,0.8333333333333334,10,2,6,6,0.7256944444444444,0.56,0.5544871794871795,0.6206896551724138,0.6923076923076923,0.5625,0.4166666666666667,5,7,4,9,0.6666666666666666
8,49,random_forest,0.7178571428571429,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.7083333333333334,0.7083333333333334,0.7407407407407407,0.8333333333333334,0.6666666666666666,0.5833333333333334,7,5,2,10,0.7152777777777778,0.64,0.6282051282051282,0.7272727272727273,0.9230769230769231,0.6,0.3333333333333333,4,8,1,12,0.6923076923076924
9,50,random_forest,0.6232142857142857,"{'max_depth': None, 'min_samples_leaf': 2, 'n_estimators': 300}",0.5,0.5,0.5384615384615384,0.5833333333333334,0.5,0.4166666666666667,5,7,5,7,0.5763888888888888,0.72,0.7147435897435898,0.7586206896551724,0.8461538461538461,0.6875,0.5833333333333334,7,5,2,11,0.8141025641025641
10,51,random_forest,0.6946428571428571,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 300}",0.75,0.75,0.7857142857142857,0.9166666666666666,0.6875,0.5833333333333334,7,5,1,11,0.78125,0.6,0.6025641025641025,0.5833333333333334,0.5384615384615384,0.6363636363636364,0.6666666666666666,8,4,6,7,0.7115384615384616
